rank,full_name,hot_score,stars_delta_7d,activity_score
1,NousResearch/hermes-agent,99.4,0,100.0
2,can1357/oh-my-pi,97.8,0,98.5
3,maximhq/bifrost,95.7,0,92.5
4,milvus-io/milvus,95.6,0,88.1
5,langgenius/dify,95.0,0,97.0
6,1Panel-dev/MaxKB,94.7,0,86.6
7,simstudioai/sim,94.1,0,80.6
8,wecode-ai/Wegent,93.6,0,89.6
9,smart-mcp-proxy/mcpproxy-go,93.4,0,91.0
10,mem0ai/mem0,93.2,0,76.1
