rank,full_name,hot_score,stars_delta_7d,activity_score
1,NousResearch/hermes-agent,99.6,0,100.0
2,sgl-project/sglang,97.6,0,98.6
3,simstudioai/sim,94.6,0,82.9
4,OpenHands/OpenHands,94.3,0,94.3
5,langfuse/langfuse,93.8,0,90.0
6,gobii-ai/gobii-platform,92.3,0,84.3
7,decocms/studio,91.6,0,92.9
8,tensorzero/tensorzero,91.5,0,74.3
9,skypilot-org/skypilot,90.7,0,78.6
10,harvard-edge/cs249r_book,90.4,0,97.1
