rank,full_name,hot_score,stars_delta_7d,activity_score
1,NousResearch/hermes-agent,99.7,0,100.0
2,sgl-project/sglang,98.6,0,98.6
3,promptfoo/promptfoo,95.9,0,89.9
4,esengine/DeepSeek-Reasonix,95.2,0,94.2
5,ludwig-ai/ludwig,94.5,0,85.5
6,superset-sh/superset,93.9,0,92.8
7,huggingface/transformers,93.9,0,76.8
8,spiceai/spiceai,92.7,0,82.6
9,LMCache/LMCache,92.6,0,78.3
10,decolua/9router,90.4,0,69.6
