rank,full_name,hot_score,stars_delta_7d,activity_score
1,HKUDS/LightRAG,96.8,0,91.0
2,Runfusion/Fusion,96.3,0,98.5
3,activeloopai/hivemind,95.6,0,97.0
4,avibe-bot/avibe,95.2,0,94.0
5,NousResearch/hermes-agent,94.8,0,100.0
6,thedotmack/claude-mem,93.7,0,76.1
7,skypilot-org/skypilot,92.3,0,79.1
8,sgl-project/sglang,91.8,0,92.5
9,jd-opensource/xllm,91.2,0,88.1
10,BlazeUp-AI/Observal,91.0,0,74.6
