rank,full_name,hot_score,stars_delta_7d,activity_score
1,vllm-project/vllm,98.4,0,98.6
2,langgenius/dify,96.4,0,97.3
3,mudler/LocalAI,95.0,0,83.6
4,NousResearch/hermes-agent,94.5,0,100.0
5,apache/texera,94.1,0,94.5
6,juyterman1000/entroly,93.2,0,89.0
7,open-webui/open-webui,92.9,0,89.0
8,spiceai/spiceai,92.8,0,83.6
9,avibe-bot/avibe,92.1,0,84.9
10,rivet-dev/agentos,92.1,0,78.1
