rank,full_name,hot_score,stars_delta_7d,activity_score
1,sgl-project/sglang,97.1,0,97.4
2,EKKOLearnAI/hermes-web-ui,96.9,0,98.7
3,promptfoo/promptfoo,96.3,0,92.2
4,yamadashy/repomix,95.1,0,87.0
5,apache/texera,94.0,0,93.5
6,e2b-dev/infra,92.6,0,85.7
7,HKUDS/Vibe-Trading,92.2,0,79.2
8,googleapis/mcp-toolbox,91.7,0,77.9
9,jundot/omlx,90.9,0,90.9
10,mlflow/mlflow,90.4,0,71.4
